Vehicle_ID,Vehicle_Name,Fuel_Type,Mileage_KMPL,Region
V001,Vehicle_1,Diesel,16,East
V002,Vehicle_2,Diesel,15,North
V003,Vehicle_3,Diesel,16,North
V004,Vehicle_4,Diesel,20,East
V005,Vehicle_5,Diesel,18,Central
V006,Vehicle_6,Petrol,19,
V007,Vehicle_7,Petrol,21,North
V008,Vehicle_8,Diesel,21,West
V009,Vehicle_9,Petrol,25,North
V010,Vehicle_10,Diesel,14,North
V011,Vehicle_11,Petrol,17,West
V012,Vehicle_12,Petrol,15,South
V013,Vehicle_13,Petrol,17,Central
V014,Vehicle_14,Petrol,16,South
V015,Vehicle_15,Petrol,22,Central
V016,Vehicle_16,Petrol,17,North
V017,Vehicle_17,Petrol,18,Central
V018,Vehicle_18,Diesel,21,East
V019,Vehicle_19,Diesel,19,Central
V020,Vehicle_20,Diesel,22,Central
V021,Vehicle_21,Diesel,14,North
V022,Vehicle_22,Petrol,16,East
V023,Vehicle_23,Petrol,22,South
V024,Vehicle_24,Petrol,23,East
V025,Vehicle_25,Diesel,15,West
V026,Vehicle_26,Petrol,21,West
V027,Vehicle_27,Diesel,21,West
V028,Vehicle_28,Petrol,14,North
V029,Vehicle_29,Petrol,24,West
V030,Vehicle_30,Diesel,16,South
V031,Vehicle_31,Diesel,22,East
V032,Vehicle_32,Petrol,20,East
V033,Vehicle_33,Diesel,20,North
V034,Vehicle_34,Petrol,14,North
V035,Vehicle_35,Diesel,18,West
V036,Vehicle_36,Petrol,15,West
V037,Vehicle_37,Diesel,15,Central
V038,Vehicle_38,Petrol,16,West
V039,Vehicle_39,Diesel,22,East
V040,Vehicle_40,Diesel,15,North
V041,Vehicle_41,Petrol,22,East
V042,Vehicle_42,Petrol,21,West
V043,Vehicle_43,Diesel,15,East
V044,Vehicle_44,Petrol,20,North
V045,Vehicle_45,Petrol,20,West
V046,Vehicle_46,Diesel,21,East
V047,Vehicle_47,Petrol,16,East
V048,Vehicle_48,Petrol,15,South
V049,Vehicle_49,Petrol,20,Central
V050,Vehicle_50,Diesel,18,East
V051,Vehicle_51,Petrol,14,Central
V052,Vehicle_52,Petrol,19,North
V053,Vehicle_53,Petrol,18,East
V054,Vehicle_54,Diesel,17,South
V055,Vehicle_55,Petrol,23,North
V056,Vehicle_56,Diesel,15,West
V057,Vehicle_57,Diesel,23,East
V058,Vehicle_58,Diesel,24,North
V059,Vehicle_59,Petrol,21,South
V060,Vehicle_60,Diesel,22,North
V061,Vehicle_61,Diesel,18,West
V062,Vehicle_62,Petrol,20,South
V063,Vehicle_63,Diesel,25,Central
V064,Vehicle_64,Diesel,15,Central
V065,Vehicle_65,Diesel,19,West
V066,Vehicle_66,Petrol,16,South
V067,Vehicle_67,Diesel,19,South
V068,Vehicle_68,Diesel,16,Central
V069,Vehicle_69,Petrol,15,South
V070,Vehicle_70,Petrol,23,Central
V071,Vehicle_71,Petrol,17,East
V072,Vehicle_72,Petrol,18,East
V073,Vehicle_73,Petrol,23,East
V074,Vehicle_74,Diesel,14,Central
V075,Vehicle_75,Petrol,16,West
V076,Vehicle_76,Diesel,21,South
V077,Vehicle_77,Diesel,25,East
V078,Vehicle_78,Diesel,24,South
V079,Vehicle_79,Petrol,15,West
V080,Vehicle_80,Petrol,18,Central
V081,Vehicle_81,Diesel,20,North
V082,Vehicle_82,Diesel,16,North
V083,Vehicle_83,Diesel,15,South
V084,Vehicle_84,Petrol,14,West
V085,Vehicle_85,Petrol,24,West
V086,Vehicle_86,Petrol,20,North
V087,Vehicle_87,Diesel,24,West
V088,Vehicle_88,Diesel,24,East
V089,Vehicle_89,Petrol,14,West
V090,Vehicle_90,Diesel,21,West
V091,Vehicle_91,Diesel,16,Central
V092,Vehicle_92,Petrol,20,South
V093,Vehicle_93,Diesel,16,Central
V094,Vehicle_94,Petrol,19,Central
V095,Vehicle_95,Diesel,16,North
V096,Vehicle_96,Diesel,25,West
V097,Vehicle_97,Diesel,19,West
V098,Vehicle_98,Petrol,24,North
V099,Vehicle_99,Petrol,14,Central
V100,Vehicle_100,Petrol,22,West
V011,Vehicle_11,Petrol,17,West
