Year,Vehicle_ID,KM_Driven
2021,V001,33121
2021,V002,27461
2021,V003,18313
2021,V004,38833
2021,V005,26543
2021,V006,38357
2021,V007,38529
2021,V008,-1500
2021,V009,19706
2021,V010,23013
2021,V011,12542
2021,V012,28381
2021,V013,39334
2021,V014,31560
2021,V015,36142
2021,V016,22310
2021,V017,20207
2021,V018,29658
2021,V019,32736
2021,V020,25405
2021,V021,22040
2021,V022,37398
2021,V023,17429
2021,V024,36820
2021,V025,17142
2021,V026,19754
2021,V027,15001
2021,V028,38312
2021,V029,25521
2021,V030,16573
2021,V031,32844
2021,V032,13543
2021,V033,12846
2021,V034,21823
2021,V035,17720
2021,V036,22856
2021,V037,31132
2021,V038,20936
2021,V039,27370
2021,V040,16933
2021,V041,15869
2021,V042,37247
2021,V043,38188
2021,V044,30125
2021,V045,28478
2021,V046,37565
2021,V047,31907
2021,V048,34387
2021,V049,33748
2021,V050,35386
2021,V051,19893
2021,V052,29746
2021,V053,13077
2021,V054,26986
2021,V055,30584
2021,V056,21324
2021,V057,31489
2021,V058,27552
2021,V059,24541
2021,V060,39205
2021,V061,14100
2021,V062,15270
2021,V063,19871
2021,V064,28686
2021,V065,25929
2021,V066,36628
2021,V067,30105
2021,V068,32098
2021,V069,33665
2021,V070,39448
2021,V071,24658
2021,V072,19255
2021,V073,21010
2021,V074,32574
2021,V075,35739
2021,V076,19392
2021,V077,14679
2021,V078,36660
2021,V079,25473
2021,V080,38868
2021,V081,37381
2021,V082,28753
2021,V083,34486
2021,V084,38666
2021,V085,18740
2021,V086,13419
2021,V087,24057
2021,V088,23969
2021,V089,37816
2021,V090,37164
2021,V091,27561
2021,V092,39715
2021,V093,12445
2021,V094,27491
2021,V095,30675
2021,V096,37428
2021,V097,17437
2021,V098,25467
2021,V099,28716
2021,V100,29490
2022,V001,25029
2022,V002,18963
2022,V003,20408
2022,V004,23778
2022,V005,22127
2022,V006,24073
2022,V007,21895
2022,V008,13921
2022,V009,28775
2022,V010,30972
2022,V011,17485
2022,V012,36547
2022,V013,34191
2022,V014,18537
2022,V015,31988
2022,V016,34888
2022,V017,34264
2022,V018,22209
2022,V019,27232
2022,V020,21767
2022,V021,14919
2022,V022,29516
2022,V023,34657
2022,V024,27728
2022,V025,38247
2022,V026,30926
2022,V027,27873
2022,V028,15202
2022,V029,28640
2022,V030,12907
2022,V031,32369
2022,V032,25304
2022,V033,23939
2022,V034,20982
2022,V035,14649
2022,V036,21207
2022,V037,35519
2022,V038,19460
2022,V039,24154
2022,V040,16219
2022,V041,13697
2022,V042,14429
2022,V043,19266
2022,V044,34331
2022,V045,25886
2022,V046,28449
2022,V047,34810
2022,V048,16739
2022,V049,27199
2022,V050,24066
2022,V051,34303
2022,V052,21507
2022,V053,20941
2022,V054,31947
2022,V055,23270
2022,V056,19657
2022,V057,30644
2022,V058,17636
2022,V059,23178
2022,V060,18425
2022,V061,18199
2022,V062,19905
2022,V063,16874
2022,V064,12133
2022,V065,20485
2022,V066,35625
2022,V067,37654
2022,V068,37829
2022,V069,36650
2022,V070,27565
2022,V071,19190
2022,V072,16947
2022,V073,25793
2022,V074,26355
2022,V075,28215
2022,V076,20696
2022,V077,35416
2022,V078,22776
2022,V079,18896
2022,V080,20910
2022,V081,17272
2022,V082,39414
2022,V083,30992
2022,V084,15711
2022,V085,14478
2022,V086,29719
2022,V087,30677
2022,V088,25777
2022,V089,21397
2022,V090,17267
2022,V091,30447
2022,V092,32015
2022,V093,35779
2022,V094,24818
2022,V095,21501
2022,V096,31630
2022,V097,35230
2022,V098,12553
2022,V099,28690
2022,V100,17868
2023,V001,26295
2023,V002,20627
2023,V003,26585
2023,V004,34223
2023,V005,39687
2023,V006,21212
2023,V007,19863
2023,V008,32015
2023,V009,27859
2023,V010,34417
2023,V011,35444
2023,V012,34930
2023,V013,27282
2023,V014,34506
2023,V015,14414
2023,V016,12196
2023,V017,23217
2023,V018,31336
2023,V019,25553
2023,V020,34768
2023,V021,35756
2023,V022,21108
2023,V023,27948
2023,V024,21477
2023,V025,21788
2023,V026,17635
2023,V027,16579
2023,V028,15977
2023,V029,23436
2023,V030,22751
2023,V031,32019
2023,V032,23477
2023,V033,12886
2023,V034,33711
2023,V035,35066
2023,V036,26081
2023,V037,31329
2023,V038,14772
2023,V039,21557
2023,V040,17848
2023,V041,14292
2023,V042,26660
2023,V043,16987
2023,V044,28320
2023,V045,18872
2023,V046,30772
2023,V047,17915
2023,V048,35927
2023,V049,33938
2023,V050,35100
2023,V051,28607
2023,V052,22898
2023,V053,38886
2023,V054,24335
2023,V055,19211
2023,V056,20679
2023,V057,16785
2023,V058,36306
2023,V059,31756
2023,V060,37008
2023,V061,21133
2023,V062,17301
2023,V063,23304
2023,V064,37552
2023,V065,39082
2023,V066,35017
2023,V067,15563
2023,V068,24667
2023,V069,13031
2023,V070,13070
2023,V071,27604
2023,V072,18454
2023,V073,19806
2023,V074,25798
2023,V075,16969
2023,V076,38579
2023,V077,12534
2023,V078,32594
2023,V079,39917
2023,V080,17873
2023,V081,36454
2023,V082,39027
2023,V083,13602
2023,V084,25140
2023,V085,19860
2023,V086,37561
2023,V087,18974
2023,V088,31999
2023,V089,19878
2023,V090,31655
2023,V091,14642
2023,V092,20441
2023,V093,29632
2023,V094,33976
2023,V095,31879
2023,V096,32305
2023,V097,35570
2023,V098,38303
2023,V099,19290
2023,V100,21068
2024,V001,36127
2024,V002,30747
2024,V003,29521
2024,V004,25897
2024,V005,16219
2024,V006,31838
2024,V007,13474
2024,V008,26831
2024,V009,29191
2024,V010,19354
2024,V011,20613
2024,V012,14414
2024,V013,35468
2024,V014,33298
2024,V015,34352
2024,V016,34968
2024,V017,34865
2024,V018,17396
2024,V019,30028
2024,V020,39437
2024,V021,32476
2024,V022,32968
2024,V023,25812
2024,V024,24569
2024,V025,17208
2024,V026,32326
2024,V027,39496
2024,V028,27146
2024,V029,20316
2024,V030,19208
2024,V031,31844
2024,V032,14419
2024,V033,37373
2024,V034,17347
2024,V035,23565
2024,V036,31306
2024,V037,35364
2024,V038,15658
2024,V039,13037
2024,V040,15276
2024,V041,21579
2024,V042,27148
2024,V043,28768
2024,V044,36146
2024,V045,16719
2024,V046,19787
2024,V047,22590
2024,V048,39349
2024,V049,25070
2024,V050,35005
2024,V051,15840
2024,V052,15720
2024,V053,26079
2024,V054,29273
2024,V055,35636
2024,V056,21545
2024,V057,24617
2024,V058,28618
2024,V059,39322
2024,V060,36947
2024,V061,34780
2024,V062,33852
2024,V063,20488
2024,V064,13449
2024,V065,36548
2024,V066,25326
2024,V067,18088
2024,V068,35699
2024,V069,13172
2024,V070,26071
2024,V071,26722
2024,V072,30497
2024,V073,24688
